No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
1,prints and canvases,49500,61,103,$4.41,100,51,https://abstracthouse.com/collections/large-canvas-prints
2,art at wall,49500,48,103,$0.63,100,67,https://abstracthouse.com/collections/art-for-your-living-room
3,wall art for wall,49500,71,103,$0.80,100,56,https://abstracthouse.com/
4,abstractionism artwork,22200,20,113,$0.50,100,56,https://abstracthouse.com/collections/abstract-art-prints
5,abstract art,22200,3,3596,$0.50,100,58,https://abstracthouse.com/collections/abstract-art-prints
6,abstract arts,22200,4,2160,$0.71,100,52,https://abstracthouse.com/collections/abstract-art-prints
7,abstract artwork,22200,2,6748,$0.50,100,52,https://abstracthouse.com/collections/abstract-art-prints
8,paintings,18100,58,31,$1.31,100,45,https://abstracthouse.com/collections/original-art
9,art painting art,18100,31,35,$1.60,87,60,https://abstracthouse.com/
10,paintings of paintings,18100,20,75,$1.37,98,45,https://abstracthouse.com/
11,art prints,12100,99,25,$1.30,100,80,https://abstracthouse.com/pages/art-prints-posters
12,artist mark rothko,12100,28,32,$0.33,82,70,https://abstracthouse.com/blogs/inspiration/mark-rothko-the-history-of-the-master-of-abstract-art
13,mark rothko,12100,41,25,$0.33,82,49,https://abstracthouse.com/blogs/inspiration/mark-rothko-the-history-of-the-master-of-abstract-art
14,triptych,8100,70,17,$0.96,28,53,https://abstracthouse.com/blogs/inspiration/triptych-in-art
15,contemporary artwork,8100,10,273,$1.01,84,60,https://abstracthouse.com/collections/contemporary-prints
16,kitchen paintings for wall,8100,52,17,$0.49,100,32,https://abstracthouse.com/collections/art-for-your-kitchen
17,teal colours,8100,109,17,$0.26,73,49,https://abstracthouse.com/collections/teal-wall-art
18,peter blake,8100,99,17,$1.28,9,53,https://abstracthouse.com/blogs/art-101/who-is-peter-blake
19,canvas print uk,6600,91,13,$3.79,100,65,https://abstracthouse.com/collections/canvas-prints
20,canvas pictures uk,6600,67,13,$4,100,76,https://abstracthouse.com/collections/canvas-prints
21,dark green painting,5400,17,31,$0.29,100,36,https://abstracthouse.com/collections/abstract-art-prints/green
22,abstract artwork painting,5400,1,1641,$0.42,100,54,https://abstracthouse.com/collections/abstract-art-prints
23,large wall artwork,6600,7,182,$0.82,100,46,https://abstracthouse.com/collections/extra-large-wall-art
24,artwork for living room,6600,6,182,$0.82,100,50,https://abstracthouse.com/collections/art-for-your-living-room
25,living room art,5400,35,11,$0.61,100,41,https://abstracthouse.com/
26,abstract art paintings,5400,2,1641,$0.40,100,53,https://abstracthouse.com/collections/abstract-art-prints
27,abstract art painting,5400,1,1641,$0.51,100,51,https://abstracthouse.com/collections/abstract-art-prints
28,lounge room art,5400,36,11,$0.61,100,51,https://abstracthouse.com/collections/art-for-your-living-room
29,framed prints,5400,10,138,$1.76,100,35,https://abstracthouse.com/pages/art-prints-posters
30,art for lounge room,5400,19,31,$0.68,100,38,https://abstracthouse.com/collections/art-for-your-living-room
31,wall art on canvas,5400,69,11,$0.70,100,50,https://abstracthouse.com/collections/large-canvas-prints
32,large wall art,5400,17,40,$0.58,100,41,https://abstracthouse.com/collections/extra-large-wall-art
33,large paintings for wall,5400,5,525,$0.69,100,16,https://abstracthouse.com/collections/extra-large-wall-art
34,artworks house,5400,6,253,$1.48,12,43,https://abstracthouse.com/
35,dark green paintings,5400,21,23,$0.36,100,29,https://abstracthouse.com/collections/abstract-art-prints/green
36,wall art big,5400,7,253,$0.58,100,37,https://abstracthouse.com/collections/extra-large-wall-art
37,artwork living room,6600,3,525,$0.65,100,36,https://abstracthouse.com/collections/art-for-your-living-room
38,abstract painting,5400,11,182,$0.40,100,54,https://abstracthouse.com/collections/abstract-art-prints
39,large wall paintings,6600,3,525,$0.82,100,32,https://abstracthouse.com/collections/extra-large-wall-art
40,abstractionism paintings,5400,5,355,$0.40,100,52,https://abstracthouse.com/collections/abstract-art-prints
41,artwork houses,6600,16,40,$1.35,18,27,https://abstracthouse.com/
42,large art walls,5400,6,355,$0.61,100,38,https://abstracthouse.com/collections/extra-large-wall-art
43,large artwork wall,5400,9,182,$0.58,100,38,https://abstracthouse.com/collections/extra-large-wall-art
44,standard picture sizes,5400,46,11,$0.74,34,39,https://abstracthouse.com/blogs/how-to-guides/photo-frame-size-guide-what-size-picture-frame-do-i-need
