Keyword,Page URL,LOCKED,Status,Action,Clicks,Position,Match Score,AI Score,Is Winner,Source
about wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-is-the-3-5-7-rule-in-decorating,,DONE,UNRESOLVABLE,1489,2.8,100%,97.2,YES,
about wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/do-beige-and-grey-go-together-heres-how-to-make-it-work,,DONE,UNRESOLVABLE,1362,4.3,100%,95.7,NO,
about wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-colour-goes-with-grey-walls-essential-tips,,DONE,UNRESOLVABLE,728,5,100%,95,NO,
about wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/moisture-resistant-restroom-wall-art-what-actually-works,,DONE,UNRESOLVABLE,538,5.8,100%,94.2,NO,
about wall art,https://aboutwallart.com/pages/write-for-us,,DONE,UNRESOLVABLE,496,11.1,100%,88.9,NO,
living room pictures,https://aboutwallart.com/collections/framed-wall-pictures-for-living-room,LOCKED,DONE,TO_OPTIMIZE,198,7.8,100%,92.2,YES,
living room pictures,https://aboutwallart.com/products/large-living-room-pictures-set-of-3-wall-art-prints,,DONE,REPURPOSE,47,6.6,100%,77.5,NO,
living room pictures,https://aboutwallart.com/products/floral-large-wall-prints-for-a-living-room-set-of-3-wall-art-prints,,PENDING,LINK,64,9.1,67%,63.5,NO,
living room pictures,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/canvas-paintings-for-living-room,,PENDING,LINK,43,9.4,67%,56.8,NO,
living room pictures,https://aboutwallart.com/products/wall-art-for-large-living-room-wall-set-of-3-floral-wall-art-prints,,PENDING,LINK,30,8.2,67%,54.1,NO,
bathroom art ideas,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/stylish-behind-toilet-decor-5-ideas-to-transform-your-small-bathroom,LOCKED,DONE,TO_OPTIMIZE,242,5.3,100%,94.7,YES,
bathroom art ideas,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/decorating-above-toilet-stylish-ideas-to-elevate-your-bathroom,,DONE,REPURPOSE,139,6.5,100%,93.5,NO,
bathroom art ideas,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/bathroom-art-ideas-to-transform-your-bathroom-into-an-oasis,LOCKED,DONE,TO_OPTIMIZE,225,8.4,100%,91.6,NO,
