Keyword,Page URL,LOCKED,Status,Action,Clicks,Position,Match Score,AI Score
wall art decor,https://aboutwallart.com/,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A
unique wall art,https://aboutwallart.com/pages/unique-wall-art,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A
home decor unique,https://aboutwallart.com/pages/home-decor-items,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A
modern wall art,https://aboutwallart.com/pages/modern-art-wall-decoration-shop-by-room,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A
framed wall art,https://aboutwallart.com/pages/wall-hanging-pictures-shop-by-style,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A
wall art by colour,https://aboutwallart.com/pages/gallery-wall-art-shop-by-colour-scheme,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A
celebration gifts,https://aboutwallart.com/pages/celebration-gifts-shop-by-occasion,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A
botanical themed bedroom,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/master-botanical-themed-bedroom-like-a-professional-designer,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A
boho wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/boho-wall-art-trends-which-styles-are-trending-now,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A
boho art design,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/boho-art-design-how-to-master-bohemian-wall-decor,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A
